provinsi,sekolah,siswa,mengulang,putus_sekolah,kepala_sekolah_&_guru,tenaga_kependidikan,rombel,ruang_kelas,status,tahun,jenjang
Jawa Tengah,239,300562,71,38,16802,3358,8636,7003,Negeri,2023,SMK
DI Yogyakarta,50,51489,35,2,3111,891,1557,1329,Negeri,2023,SMK
Jawa Timur,297,346931,381,264,19863,5011,10761,8845,Negeri,2023,SMK
Aceh,153,46341,452,276,6301,1389,2215,2315,Negeri,2023,SMK
Sumatera Utara,274,138169,172,544,10564,1208,4832,4808,Negeri,2023,SMK
Sumatera Barat,115,75274,421,268,5903,1062,2788,2486,Negeri,2023,SMK
Riau,138,68528,84,76,5228,921,2523,2220,Negeri,2023,SMK
Jambi,107,38401,224,182,3467,796,1578,1568,Negeri,2023,SMK
Sumatera Selatan,121,78601,142,226,5734,1224,2619,2162,Negeri,2023,SMK
Lampung,111,68999,59,23,4737,1117,2399,2235,Negeri,2023,SMK
Kalimantan Barat,117,56973,276,162,3361,433,2006,1650,Negeri,2023,SMK
Kalimantan Tengah,94,27041,59,97,2467,248,1144,1248,Negeri,2023,SMK
Kalimantan Selatan,64,42920,83,93,2962,797,1501,1356,Negeri,2023,SMK
Kalimantan Timur,88,54574,208,55,3393,766,1774,1541,Negeri,2023,SMK
Sulawesi Utara,92,33142,630,81,2990,364,1629,1629,Negeri,2023,SMK
Sulawesi Tengah,107,32054,162,144,2857,416,1412,1450,Negeri,2023,SMK
Sulawesi Selatan,168,87122,417,442,7495,1061,3390,3663,Negeri,2023,SMK
Sulawesi Tenggara,102,29223,281,90,3280,303,1406,1497,Negeri,2023,SMK
Maluku,84,15750,30,76,2133,306,846,915,Negeri,2023,SMK
Bali,57,54131,9,24,3499,1006,1728,1305,Negeri,2023,SMK
Nusa Tenggara Barat,99,54577,278,157,5207,1211,2192,1999,Negeri,2023,SMK
Nusa Tenggara Timur,174,60670,169,294,6015,656,2524,2321,Negeri,2023,SMK
Papua,35,9433,255,57,934,153,446,459,Negeri,2023,SMK
Bengkulu,65,25124,28,131,2548,527,1091,1078,Negeri,2023,SMK
Maluku Utara,63,9677,104,58,1284,155,552,589,Negeri,2023,SMK
Banten,91,91430,104,99,4354,1174,2649,2219,Negeri,2023,SMK
Kepulauan Bangka Belitung,36,19397,37,24,1318,347,655,706,Negeri,2023,SMK
Gorontalo,40,14455,98,69,1452,227,715,770,Negeri,2023,SMK
Kepulauan Riau,36,28493,106,5,1752,447,915,654,Negeri,2023,SMK
Papua Barat,16,5287,69,13,505,39,252,234,Negeri,2023,SMK
Sulawesi Barat,60,18604,67,145,1896,579,837,956,Negeri,2023,SMK
Kalimantan Utara,22,9519,40,19,757,161,357,377,Negeri,2023,SMK
Luar Negeri,1,197,0,0,6,1,9,9,Negeri,2023,SMK
Papua Tengah,16,5253,23,11,470,30,224,249,Negeri,2023,SMK
Papua Selatan,21,6300,237,25,565,38,269,266,Negeri,2023,SMK
Papua Pegunungan,10,1726,2,50,112,1,58,67,Negeri,2023,SMK
Papua Barat Daya,16,5570,102,33,514,44,270,275,Negeri,2023,SMK
DKI Jakarta,488,138996,156,156,7787,1681,5080,6540,Swasta,2023,SMK
Jawa Barat,2625,725091,1278,1193,38433,7584,27024,30965,Swasta,2023,SMK
Jawa Tengah,1302,503857,956,827,27805,6201,18404,19379,Swasta,2023,SMK
DI Yogyakarta,156,37353,179,15,3130,825,1725,1898,Swasta,2023,SMK
Jawa Timur,1850,427637,1630,1513,27873,4443,17263,18338,Swasta,2023,SMK
Aceh,69,7759,56,25,745,161,397,464,Swasta,2023,SMK
Sumatera Utara,685,166396,436,1746,9526,1125,6555,7900,Swasta,2023,SMK
Sumatera Barat,97,13008,232,47,1360,232,714,903,Swasta,2023,SMK
Riau,168,36797,141,66,2946,414,1685,1971,Swasta,2023,SMK
Jambi,74,10828,77,35,856,150,519,602,Swasta,2023,SMK
Sumatera Selatan,193,47324,150,94,2815,552,1847,2117,Swasta,2023,SMK
Lampung,386,81737,92,125,5342,959,3414,3783,Swasta,2023,SMK
Kalimantan Barat,116,18768,106,160,1171,183,834,1005,Swasta,2023,SMK
Kalimantan Tengah,45,6125,17,10,583,53,292,337,Swasta,2023,SMK
Kalimantan Selatan,64,12518,33,16,1044,251,573,686,Swasta,2023,SMK
Kalimantan Timur,129,28536,290,62,1738,477,1268,1403,Swasta,2023,SMK
Sulawesi Utara,100,12624,186,169,1006,113,798,1027,Swasta,2023,SMK
Sulawesi Tengah,75,9889,138,34,812,143,535,604,Swasta,2023,SMK
Sulawesi Selatan,238,33178,445,407,2503,430,1826,2190,Swasta,2023,SMK
Sulawesi Tenggara,66,5513,13,202,632,51,375,417,Swasta,2023,SMK
Maluku,36,6062,24,8,543,45,315,295,Swasta,2023,SMK
Bali,113,34998,9,26,2067,446,1311,1560,Swasta,2023,SMK
Nusa Tenggara Barat,230,23135,213,370,2325,177,1089,1184,Swasta,2023,SMK
Nusa Tenggara Timur,169,43204,71,1199,3088,285,1841,1837,Swasta,2023,SMK
Papua,14,3930,105,26,290,50,177,160,Swasta,2023,SMK
Bengkulu,38,3418,31,84,411,82,206,268,Swasta,2023,SMK
Maluku Utara,87,9474,99,128,646,62,477,476,Swasta,2023,SMK
Banten,633,159985,258,421,9019,2240,5956,6966,Swasta,2023,SMK
Kepulauan Bangka Belitung,23,5239,6,25,358,105,214,282,Swasta,2023,SMK
Gorontalo,19,2352,4,20,254,51,138,168,Swasta,2023,SMK
Kepulauan Riau,68,9491,23,26,747,120,545,713,Swasta,2023,SMK
Papua Barat,5,1449,60,35,116,14,60,50,Swasta,2023,SMK
Sulawesi Barat,70,6469,60,101,623,147,369,413,Swasta,2023,SMK
Kalimantan Utara,12,938,0,1,142,21,51,71,Swasta,2023,SMK
Papua Tengah,35,5928,49,79,477,63,285,294,Swasta,2023,SMK
Papua Selatan,4,707,6,1,58,10,40,49,Swasta,2023,SMK
Papua Pegunungan,9,2699,110,20,120,11,87,93,Swasta,2023,SMK
Papua Barat Daya,22,3415,58,16,281,33,161,154,Swasta,2023,SMK
DKI Jakarta,73,58159,12,0,3420,677,1680,1655,Negeri,2024,SMK
Jawa Barat,288,349760,91,28,18090,4767,10620,8766,Negeri,2024,SMK
Jawa Tengah,239,303453,70,95,16791,3324,8737,7029,Negeri,2024,SMK
DI Yogyakarta,50,52370,28,0,3149,892,1559,1384,Negeri,2024,SMK
Jawa Timur,299,352073,403,261,21025,4945,10870,8925,Negeri,2024,SMK
Aceh,154,47064,458,128,6426,1403,2256,2362,Negeri,2024,SMK
Sumatera Utara,279,137491,111,367,10937,1296,4849,5013,Negeri,2024,SMK
Sumatera Barat,116,73840,451,86,5781,1030,2807,2536,Negeri,2024,SMK
Riau,139,71023,84,49,5468,931,2665,2411,Negeri,2024,SMK
Jambi,108,37809,270,34,3426,811,1584,1604,Negeri,2024,SMK
Sumatera Selatan,121,80225,309,173,5812,1262,2696,2232,Negeri,2024,SMK
Lampung,112,71535,31,4,5381,1188,2479,2284,Negeri,2024,SMK
Kalimantan Barat,120,57640,281,156,3721,483,2071,1708,Negeri,2024,SMK
Kalimantan Tengah,94,26818,90,32,2517,256,1152,1252,Negeri,2024,SMK
Kalimantan Selatan,64,44019,52,21,3026,849,1545,1352,Negeri,2024,SMK
Kalimantan Timur,88,55536,240,28,3524,785,1798,1647,Negeri,2024,SMK
Sulawesi Utara,94,31186,694,20,2978,374,1643,1719,Negeri,2024,SMK
Sulawesi Tengah,107,31647,174,65,3164,497,1438,1534,Negeri,2024,SMK
Sulawesi Selatan,168,86042,361,207,7657,1068,3401,3959,Negeri,2024,SMK
Sulawesi Tenggara,103,27916,144,75,3802,466,1452,1540,Negeri,2024,SMK
Maluku,84,15089,43,34,2171,324,862,938,Negeri,2024,SMK
Bali,58,55988,5,11,3583,984,1859,1334,Negeri,2024,SMK
Nusa Tenggara Barat,100,56212,390,119,5701,1220,2278,2061,Negeri,2024,SMK
Nusa Tenggara Timur,178,57309,160,248,6192,679,2556,2475,Negeri,2024,SMK
Papua,35,9364,234,44,959,153,448,486,Negeri,2024,SMK
Bengkulu,65,24368,16,76,2591,567,1085,1105,Negeri,2024,SMK
Maluku Utara,63,9251,81,51,1389,188,556,590,Negeri,2024,SMK
Banten,98,94428,42,44,4509,1181,2746,2386,Negeri,2024,SMK
Kepulauan Bangka Belitung,36,19604,23,19,1317,342,661,747,Negeri,2024,SMK
Gorontalo,40,13092,93,137,1427,220,691,791,Negeri,2024,SMK
Kepulauan Riau,38,30822,10,0,1773,481,977,732,Negeri,2024,SMK
Papua Barat,16,5193,162,24,536,43,254,236,Negeri,2024,SMK
Sulawesi Barat,60,17736,130,79,1952,565,837,1016,Negeri,2024,SMK
Kalimantan Utara,22,9644,6,14,751,165,367,377,Negeri,2024,SMK
Luar Negeri,1,237,0,0,7,1,9,9,Negeri,2024,SMK
Papua Tengah,17,5457,59,72,495,36,228,260,Negeri,2024,SMK
Papua Selatan,21,6343,310,14,612,50,269,283,Negeri,2024,SMK
Papua Pegunungan,12,2235,0,25,141,2,74,81,Negeri,2024,SMK
Papua Barat Daya,16,5441,101,3,541,51,270,286,Negeri,2024,SMK
DKI Jakarta,483,138100,164,87,7663,1666,5049,6590,Swasta,2024,SMK
Jawa Barat,2634,708862,1221,757,36458,7970,26668,31453,Swasta,2024,SMK
Jawa Tengah,1308,519577,833,621,27450,6335,18839,19819,Swasta,2024,SMK
DI Yogyakarta,157,38090,202,9,2814,776,1727,1940,Swasta,2024,SMK
Jawa Timur,1861,433914,1612,1002,25588,4311,17504,18702,Swasta,2024,SMK
Aceh,70,7659,42,28,664,165,401,480,Swasta,2024,SMK
Sumatera Utara,674,156825,508,1632,9134,1137,6302,7847,Swasta,2024,SMK
Sumatera Barat,100,11779,285,132,1169,222,685,923,Swasta,2024,SMK
Riau,171,35646,203,99,2787,437,1673,2045,Swasta,2024,SMK
Jambi,75,10550,62,31,832,154,521,611,Swasta,2024,SMK
Sumatera Selatan,194,47328,192,218,2751,581,1852,2115,Swasta,2024,SMK
Lampung,380,82617,70,47,4815,987,3371,3807,Swasta,2024,SMK
Kalimantan Barat,115,17824,103,96,1029,194,813,1002,Swasta,2024,SMK
Kalimantan Tengah,45,6010,25,2,549,57,291,330,Swasta,2024,SMK
Kalimantan Selatan,62,13063,36,14,1007,245,582,719,Swasta,2024,SMK
Kalimantan Timur,128,29082,205,27,1698,482,1281,1427,Swasta,2024,SMK
Sulawesi Utara,98,11149,115,83,861,107,751,978,Swasta,2024,SMK
Sulawesi Tengah,76,9210,99,52,656,209,520,624,Swasta,2024,SMK
Sulawesi Selatan,238,29983,276,338,2201,392,1740,2157,Swasta,2024,SMK
Sulawesi Tenggara,67,4824,27,58,573,77,376,429,Swasta,2024,SMK
Maluku,37,5678,14,15,480,54,307,348,Swasta,2024,SMK
Bali,111,38645,7,5,1915,447,1401,1559,Swasta,2024,SMK
Nusa Tenggara Barat,241,22192,113,291,2224,178,1113,1223,Swasta,2024,SMK
Nusa Tenggara Timur,177,39908,63,429,2974,317,1847,1902,Swasta,2024,SMK
Papua,14,3976,78,13,285,49,177,163,Swasta,2024,SMK
Bengkulu,38,3207,48,4,348,75,196,236,Swasta,2024,SMK
Maluku Utara,88,9153,52,54,551,78,483,505,Swasta,2024,SMK
Banten,639,161479,274,193,8904,2408,5982,7019,Swasta,2024,SMK
Kepulauan Bangka Belitung,23,5175,4,9,342,103,217,310,Swasta,2024,SMK
Gorontalo,19,2097,28,10,252,53,130,179,Swasta,2024,SMK
Kepulauan Riau,68,9067,21,20,713,127,507,664,Swasta,2024,SMK
Papua Barat,5,1426,21,1,100,9,62,58,Swasta,2024,SMK
Sulawesi Barat,68,5810,18,61,492,139,334,396,Swasta,2024,SMK
Kalimantan Utara,12,917,2,3,124,20,53,70,Swasta,2024,SMK
Papua Tengah,37,5765,83,44,466,57,287,308,Swasta,2024,SMK
Papua Selatan,4,639,4,46,58,7,38,62,Swasta,2024,SMK
Papua Pegunungan,10,2526,78,8,116,9,84,95,Swasta,2024,SMK
Papua Barat Daya,23,3490,54,9,240,36,169,166,Swasta,2024,SMK
