provinsi,sekolah,siswa,mengulang,putus_sekolah,kepala_sekolah_&_guru,tenaga_kependidikan,rombel,ruang_kelas,status,tahun,jenjang
Sulawesi Selatan,364,73378,61,83,4672,345,3381,3551,Swasta,2023,SD
Sulawesi Tenggara,91,13531,21,36,838,70,696,677,Swasta,2023,SD
Maluku,538,58122,682,360,3616,199,3400,3683,Swasta,2023,SD
Bali,155,41504,5,25,2491,303,1704,1791,Swasta,2023,SD
Nusa Tenggara Barat,322,40469,58,146,2741,205,2156,2082,Swasta,2023,SD
Nusa Tenggara Timur,1829,248551,3130,1094,15485,1622,12964,15024,Swasta,2023,SD
Papua,344,49512,456,257,2597,182,2451,2593,Swasta,2023,SD
Bengkulu,118,22470,26,43,1700,148,1051,1141,Swasta,2023,SD
Maluku Utara,206,22861,108,63,1167,76,1291,1336,Swasta,2023,SD
Banten,757,194372,162,195,11400,983,8278,9149,Swasta,2023,SD
Kepulauan Bangka Belitung,72,16793,14,19,958,204,694,747,Swasta,2023,SD
Gorontalo,34,4629,1,15,289,33,240,249,Swasta,2023,SD
Kepulauan Riau,299,73203,49,104,4502,391,3128,3520,Swasta,2023,SD
Papua Barat,163,23303,821,173,1260,70,1182,1179,Swasta,2023,SD
Sulawesi Barat,32,4810,3,68,291,44,255,255,Swasta,2023,SD
Kalimantan Utara,48,9971,27,19,589,77,450,447,Swasta,2023,SD
Luar Negeri,41,5871,9,8,148,0,288,233,Swasta,2023,SD
Papua Tengah,262,73033,1958,636,1990,60,2499,2192,Swasta,2023,SD
Papua Selatan,234,38962,2169,356,1449,66,1736,1679,Swasta,2023,SD
Papua Pegunungan,152,30722,405,220,905,33,1105,1043,Swasta,2023,SD
Papua Barat Daya,245,24943,422,112,1460,93,1607,1646,Swasta,2023,SD
DKI Jakarta,1305,534084,911,277,22331,2348,17965,17283,Negeri,2024,SD
Jawa Barat,16980,3892560,3221,4681,161501,12468,145289,128473,Negeri,2024,SD
Jawa Tengah,17254,2259455,4511,1185,134731,9797,113405,120181,Negeri,2024,SD
DI Yogyakarta,1418,182927,166,28,13389,1869,9778,10330,Negeri,2024,SD
Jawa Timur,16864,2097016,2976,1618,142338,9840,115820,121366,Negeri,2024,SD
Aceh,3336,453928,881,695,44062,4135,24398,25759,Negeri,2024,SD
Sumatera Utara,8116,1149616,2722,3030,86968,6662,60586,64341,Negeri,2024,SD
Sumatera Barat,3892,512533,2949,668,40852,5469,28401,29931,Negeri,2024,SD
Riau,3232,626689,2733,824,42205,4229,29355,29088,Negeri,2024,SD
Jambi,2302,331425,1303,739,25005,2964,17515,18721,Negeri,2024,SD
Sumatera Selatan,4250,790920,4199,1767,51751,6054,36991,34962,Negeri,2024,SD
Lampung,4295,711692,1411,696,48513,3555,34675,36876,Negeri,2024,SD
Kalimantan Barat,4139,493992,6421,982,34383,2985,28731,28482,Negeri,2024,SD
Kalimantan Tengah,2412,231066,1859,370,22340,1163,15863,16665,Negeri,2024,SD
Kalimantan Selatan,2737,315349,1690,346,25592,2512,19243,20433,Negeri,2024,SD
Kalimantan Timur,1664,352693,1113,489,21718,3055,15870,15023,Negeri,2024,SD
Sulawesi Utara,1349,137150,437,283,13628,511,8956,9458,Negeri,2024,SD
Sulawesi Tengah,2676,287380,1691,812,25427,6047,17789,19300,Negeri,2024,SD
Sulawesi Selatan,6071,802533,1989,1411,60428,6992,43781,44256,Negeri,2024,SD
Sulawesi Tenggara,2265,282647,1131,637,26516,2624,16469,16972,Negeri,2024,SD
Maluku,1299,148643,822,905,14642,1794,8677,9508,Negeri,2024,SD
Bali,2251,338502,94,107,21108,3693,15645,15999,Negeri,2024,SD
Nusa Tenggara Barat,3008,474323,875,944,40096,2689,22317,21788,Negeri,2024,SD
Nusa Tenggara Timur,3415,411297,3635,1737,38048,4112,24308,27768,Negeri,2024,SD
Papua,515,70293,870,372,4722,291,3772,3729,Negeri,2024,SD
Bengkulu,1289,171467,875,336,14710,1589,9622,10691,Negeri,2024,SD
Maluku Utara,1116,118093,715,610,11413,1162,7305,7720,Negeri,2024,SD
Banten,3853,1020399,1550,1552,42610,3472,36367,32438,Negeri,2024,SD
Kepulauan Bangka Belitung,761,142879,597,209,8146,1842,6151,6759,Negeri,2024,SD
Gorontalo,897,103294,962,392,7538,922,5865,6563,Negeri,2024,SD
Kepulauan Riau,683,153988,369,154,8923,1797,6749,6030,Negeri,2024,SD
Papua Barat,412,48552,1010,164,3917,171,2956,2820,Negeri,2024,SD
Sulawesi Barat,1296,138333,650,293,13587,2390,8956,9128,Negeri,2024,SD
Kalimantan Utara,437,70242,211,114,5138,647,3729,3587,Negeri,2024,SD
Luar Negeri,83,12536,51,35,332,10,640,555,Negeri,2024,SD
Papua Tengah,295,71294,1292,420,2949,99,2701,2423,Negeri,2024,SD
Papua Selatan,377,57447,2501,486,2732,127,2714,2481,Negeri,2024,SD
Papua Pegunungan,518,112406,5358,988,3095,59,4111,3344,Negeri,2024,SD
Papua Barat Daya,305,36044,898,205,3564,108,2269,2136,Negeri,2024,SD
DKI Jakarta,918,212135,330,165,14597,1815,9524,11142,Swasta,2024,SD
Jawa Barat,2558,620397,215,508,36077,4029,26587,28865,Swasta,2024,SD
Jawa Tengah,1343,319228,110,168,16430,1934,13890,14951,Swasta,2024,SD
DI Yogyakarta,423,83347,26,26,5087,823,3917,4197,Swasta,2024,SD
Jawa Timur,2111,404776,399,523,23243,2284,19215,20448,Swasta,2024,SD
Aceh,207,40154,37,87,2614,287,1837,1952,Swasta,2024,SD
Sumatera Utara,1631,346857,562,955,17826,1350,14756,15839,Swasta,2024,SD
Sumatera Barat,327,73064,117,38,4622,592,3311,3599,Swasta,2024,SD
Riau,605,146184,263,131,8602,705,6265,6710,Swasta,2024,SD
Jambi,172,36401,59,42,2043,197,1659,1749,Swasta,2024,SD
Sumatera Selatan,489,92261,128,155,5620,699,4391,4629,Swasta,2024,SD
Lampung,447,86276,69,66,5238,477,4086,4547,Swasta,2024,SD
Kalimantan Barat,316,64197,249,61,3293,317,2746,2967,Swasta,2024,SD
Kalimantan Tengah,241,45359,132,63,2410,206,1975,2111,Swasta,2024,SD
Kalimantan Selatan,186,35716,55,30,2245,229,1692,1806,Swasta,2024,SD
Kalimantan Timur,280,70396,78,61,3696,477,2985,3163,Swasta,2024,SD
Sulawesi Utara,861,82629,221,162,4715,173,5510,5850,Swasta,2024,SD
Sulawesi Tengah,273,28740,44,53,1864,225,1847,1867,Swasta,2024,SD
Sulawesi Selatan,381,76723,65,97,4921,374,3593,3859,Swasta,2024,SD
Sulawesi Tenggara,87,14089,6,28,785,82,715,686,Swasta,2024,SD
Maluku,537,55552,327,364,2896,174,3388,3827,Swasta,2024,SD
Bali,156,43992,9,29,2604,323,1799,1895,Swasta,2024,SD
Nusa Tenggara Barat,344,43262,49,124,2952,240,2346,2209,Swasta,2024,SD
Nusa Tenggara Timur,1832,242072,2222,1028,14050,1679,12873,15529,Swasta,2024,SD
Papua,335,47619,425,297,2381,173,2397,2555,Swasta,2024,SD
Bengkulu,119,23246,6,25,1658,162,1097,1191,Swasta,2024,SD
Maluku Utara,202,22598,70,85,987,67,1283,1339,Swasta,2024,SD
Banten,799,202372,99,222,11710,1063,8742,9671,Swasta,2024,SD
Kepulauan Bangka Belitung,71,16775,3,6,938,215,694,790,Swasta,2024,SD
Gorontalo,36,5077,1,11,298,34,261,271,Swasta,2024,SD
Kepulauan Riau,305,73836,52,70,4585,386,3152,3555,Swasta,2024,SD
Papua Barat,162,22759,702,92,1256,71,1189,1182,Swasta,2024,SD
Sulawesi Barat,32,5114,3,1,305,52,271,257,Swasta,2024,SD
Kalimantan Utara,49,10486,26,34,602,85,477,459,Swasta,2024,SD
Luar Negeri,41,6253,19,7,139,0,301,235,Swasta,2024,SD
Papua Tengah,265,73273,1733,592,2056,67,2614,2261,Swasta,2024,SD
Papua Selatan,241,39392,2550,290,1331,80,1788,1802,Swasta,2024,SD
Papua Pegunungan,160,34363,114,216,881,33,1252,1102,Swasta,2024,SD
Papua Barat Daya,249,24564,354,67,1385,96,1641,1705,Swasta,2024,SD
DKI Jakarta,293,222930,0,181,9693,2209,6043,6228,Negeri,2021,SMP
Jawa Barat,1969,1113692,0,502,52541,11470,33594,38750,Negeri,2021,SMP
Jawa Tengah,1769,919373,0,405,50090,11550,29887,33242,Negeri,2021,SMP
DI Yogyakarta,214,92678,0,6,5461,1328,2959,3252,Negeri,2021,SMP
Jawa Timur,1729,829308,0,516,47839,11527,27071,31506,Negeri,2021,SMP
Aceh,897,160011,0,307,19266,4386,6114,9531,Negeri,2021,SMP
Sumatera Utara,1331,433519,0,666,30475,3724,14653,17620,Negeri,2021,SMP
Sumatera Barat,674,184026,0,506,15330,2782,6607,8468,Negeri,2021,SMP
Riau,855,206252,0,254,15257,2691,7204,9316,Negeri,2021,SMP
Jambi,557,102206,0,205,9717,1843,3899,5204,Negeri,2021,SMP
Sumatera Selatan,901,287828,0,260,20851,3934,9738,11123,Negeri,2021,SMP
Lampung,710,240771,0,103,16560,2794,8148,9954,Negeri,2021,SMP
Kalimantan Barat,1018,187216,0,265,12878,1478,6902,8098,Negeri,2021,SMP
Kalimantan Tengah,708,89891,0,185,7918,837,3712,4939,Negeri,2021,SMP
Kalimantan Selatan,522,99185,0,179,7786,1266,3780,5006,Negeri,2021,SMP
Kalimantan Timur,447,127778,0,110,8198,1711,4351,5005,Negeri,2021,SMP
Sulawesi Utara,474,80137,0,192,6517,725,3113,4203,Negeri,2021,SMP
Sulawesi Tengah,731,112116,0,362,9734,2273,4414,6291,Negeri,2021,SMP
Sulawesi Selatan,1265,295626,0,550,24602,5447,10888,14230,Negeri,2021,SMP
Sulawesi Tenggara,691,116819,0,212,11223,1498,4606,6397,Negeri,2021,SMP
Maluku,534,74124,0,116,7423,1108,2939,4282,Negeri,2021,SMP
Bali,272,160516,0,31,9233,2526,4902,4984,Negeri,2021,SMP
Nusa Tenggara Barat,605,136326,0,320,16136,3329,5071,6782,Negeri,2021,SMP
Nusa Tenggara Timur,1354,265042,0,572,21687,2888,9636,12661,Negeri,2021,SMP
Papua,507,103457,0,414,6417,687,3357,4167,Negeri,2021,SMP
Bengkulu,381,79778,0,77,6695,1207,2995,3846,Negeri,2021,SMP
Maluku Utara,363,46659,0,175,4803,631,1841,2528,Negeri,2021,SMP
Banten,573,268113,0,159,12349,2140,8006,9443,Negeri,2021,SMP
Kepulauan Bangka Belitung,161,53168,0,39,3029,985,1723,2060,Negeri,2021,SMP
Gorontalo,312,43670,0,159,3625,644,1797,2399,Negeri,2021,SMP
Kepulauan Riau,234,74328,0,21,4101,969,2298,2605,Negeri,2021,SMP
Papua Barat,229,36396,0,56,3123,276,1398,1714,Negeri,2021,SMP
Sulawesi Barat,318,51302,0,131,4658,1410,1994,2744,Negeri,2021,SMP
Kalimantan Utara,153,29669,0,40,2279,375,1109,1293,Negeri,2021,SMP
Luar Negeri,46,4607,0,63,179,8,212,343,Negeri,2021,SMP
DKI Jakarta,784,138926,0,155,8946,1779,5096,7123,Swasta,2021,SMP
Jawa Barat,3715,687467,0,1116,37914,6056,23955,29531,Swasta,2021,SMP
